,시도명,시군구명,동리명,년,월,구분,count,mean,거래날짜,타입
190,경기도,수원시 권선구,평동,2022,10,전세,2.0,27750.0,2022-10-01,apt
191,경기도,수원시 권선구,호매실동,2022,10,월세,48.0,7583.708333333333,2022-10-01,apt
192,경기도,수원시 권선구,호매실동,2022,10,전세,44.0,31588.81818181818,2022-10-01,apt
193,경기도,수원시 영통구,망포동,2022,10,월세,32.0,10846.0,2022-10-01,apt
194,경기도,수원시 영통구,망포동,2022,10,전세,100.0,36932.1,2022-10-01,apt
195,경기도,수원시 영통구,매탄동,2022,10,월세,52.0,5920.384615384615,2022-10-01,apt
196,경기도,수원시 영통구,매탄동,2022,10,전세,92.0,29192.456521739132,2022-10-01,apt
197,경기도,수원시 영통구,신동,2022,10,월세,4.0,13750.0,2022-10-01,apt
198,경기도,수원시 영통구,신동,2022,10,전세,13.0,42469.230769230766,2022-10-01,apt
199,경기도,수원시 영통구,영통동,2022,10,월세,99.0,7282.828282828283,2022-10-01,apt
200,경기도,수원시 영통구,영통동,2022,10,전세,238.0,28334.449579831933,2022-10-01,apt
201,경기도,수원시 영통구,원천동,2022,10,월세,38.0,11361.052631578947,2022-10-01,apt
202,경기도,수원시 영통구,원천동,2022,10,전세,50.0,41674.1,2022-10-01,apt
203,경기도,수원시 영통구,이의동,2022,10,월세,24.0,27547.916666666668,2022-10-01,apt
204,경기도,수원시 영통구,이의동,2022,10,전세,53.0,66747.16981132075,2022-10-01,apt
205,경기도,수원시 영통구,하동,2022,10,월세,32.0,11397.78125,2022-10-01,apt
206,경기도,수원시 영통구,하동,2022,10,전세,9.0,61714.77777777778,2022-10-01,apt
207,경기도,수원시 장안구,정자동,2022,10,월세,43.0,7802.325581395349,2022-10-01,apt
208,경기도,수원시 장안구,정자동,2022,10,전세,78.0,25259.23076923077,2022-10-01,apt
209,경기도,수원시 장안구,송죽동,2022,10,월세,3.0,2000.0,2022-10-01,apt
210,경기도,수원시 장안구,송죽동,2022,10,전세,4.0,25000.0,2022-10-01,apt
211,경기도,수원시 장안구,연무동,2022,10,월세,2.0,1500.0,2022-10-01,apt
212,경기도,수원시 장안구,영화동,2022,10,월세,2.0,3600.0,2022-10-01,apt
213,경기도,수원시 장안구,영화동,2022,10,전세,1.0,14500.0,2022-10-01,apt
214,경기도,수원시 장안구,율전동,2022,10,월세,4.0,5000.0,2022-10-01,apt
215,경기도,수원시 장안구,율전동,2022,10,전세,17.0,23705.882352941175,2022-10-01,apt
216,경기도,수원시 장안구,이목동,2022,10,월세,3.0,19666.666666666668,2022-10-01,apt
217,경기도,수원시 장안구,이목동,2022,10,전세,6.0,36154.166666666664,2022-10-01,apt
218,경기도,수원시 장안구,조원동,2022,10,월세,19.0,6257.894736842105,2022-10-01,apt
219,경기도,수원시 장안구,조원동,2022,10,전세,37.0,28575.675675675677,2022-10-01,apt
220,경기도,수원시 장안구,천천동,2022,10,월세,13.0,13346.153846153846,2022-10-01,apt
