년,월,구분,인구수,행정동코드,행정동,행정동_시도명,행정동_시군구명,행정동_읍면동명,행정동시군구코드,행정동읍면동코드,행정동_주소
2022,10,총인구수,5196,1114059000,광희동,서울특별시,중구,광희동,11140,59000,서울특별시 중구 광희동
2022,10,남자인구수,2608,1114059000,광희동,서울특별시,중구,광희동,11140,59000,서울특별시 중구 광희동
2022,10,여자인구수,2588,1114059000,광희동,서울특별시,중구,광희동,11140,59000,서울특별시 중구 광희동
2022,10,총인구수,1658,1114060500,을지로동,서울특별시,중구,을지로동,11140,60500,서울특별시 중구 을지로동
2022,10,남자인구수,1018,1114060500,을지로동,서울특별시,중구,을지로동,11140,60500,서울특별시 중구 을지로동
2022,10,여자인구수,640,1114060500,을지로동,서울특별시,중구,을지로동,11140,60500,서울특별시 중구 을지로동
2022,10,총인구수,7654,1114061500,신당동,서울특별시,중구,신당동,11140,61500,서울특별시 중구 신당동
2022,10,남자인구수,3761,1114061500,신당동,서울특별시,중구,신당동,11140,61500,서울특별시 중구 신당동
2022,10,여자인구수,3893,1114061500,신당동,서울특별시,중구,신당동,11140,61500,서울특별시 중구 신당동
2022,10,총인구수,13492,1114062500,다산동,서울특별시,중구,다산동,11140,62500,서울특별시 중구 다산동
2022,10,남자인구수,6533,1114062500,다산동,서울특별시,중구,다산동,11140,62500,서울특별시 중구 다산동
2022,10,여자인구수,6959,1114062500,다산동,서울특별시,중구,다산동,11140,62500,서울특별시 중구 다산동
2022,10,총인구수,16412,1114063500,약수동,서울특별시,중구,약수동,11140,63500,서울특별시 중구 약수동
2022,10,남자인구수,7587,1114063500,약수동,서울특별시,중구,약수동,11140,63500,서울특별시 중구 약수동
2022,10,여자인구수,8825,1114063500,약수동,서울특별시,중구,약수동,11140,63500,서울특별시 중구 약수동
2022,10,총인구수,13256,1114064500,청구동,서울특별시,중구,청구동,11140,64500,서울특별시 중구 청구동
2022,10,남자인구수,6285,1114064500,청구동,서울특별시,중구,청구동,11140,64500,서울특별시 중구 청구동
2022,10,여자인구수,6971,1114064500,청구동,서울특별시,중구,청구동,11140,64500,서울특별시 중구 청구동
2022,10,총인구수,10161,1114065000,신당제5동,서울특별시,중구,신당제5동,11140,65000,서울특별시 중구 신당제5동
2022,10,남자인구수,4920,1114065000,신당제5동,서울특별시,중구,신당제5동,11140,65000,서울특별시 중구 신당제5동
2022,10,여자인구수,5241,1114065000,신당제5동,서울특별시,중구,신당제5동,11140,65000,서울특별시 중구 신당제5동
2022,10,총인구수,10048,1114066500,동화동,서울특별시,중구,동화동,11140,66500,서울특별시 중구 동화동
2022,10,남자인구수,4830,1114066500,동화동,서울특별시,중구,동화동,11140,66500,서울특별시 중구 동화동
2022,10,여자인구수,5218,1114066500,동화동,서울특별시,중구,동화동,11140,66500,서울특별시 중구 동화동
2022,10,총인구수,12558,1114067000,황학동,서울특별시,중구,황학동,11140,67000,서울특별시 중구 황학동
2022,10,남자인구수,5960,1114067000,황학동,서울특별시,중구,황학동,11140,67000,서울특별시 중구 황학동
2022,10,여자인구수,6598,1114067000,황학동,서울특별시,중구,황학동,11140,67000,서울특별시 중구 황학동
2022,10,총인구수,12040,1114068000,중림동,서울특별시,중구,중림동,11140,68000,서울특별시 중구 중림동
2022,10,남자인구수,5979,1114068000,중림동,서울특별시,중구,중림동,11140,68000,서울특별시 중구 중림동
2022,10,여자인구수,6061,1114068000,중림동,서울특별시,중구,중림동,11140,68000,서울특별시 중구 중림동
2022,10,총인구수,16382,1117051000,후암동,서울특별시,용산구,후암동,11170,51000,서울특별시 용산구 후암동
2022,10,남자인구수,7981,1117051000,후암동,서울특별시,용산구,후암동,11170,51000,서울특별시 용산구 후암동
2022,10,여자인구수,8401,1117051000,후암동,서울특별시,용산구,후암동,11170,51000,서울특별시 용산구 후암동
2022,10,총인구수,9117,1117052000,용산2가동,서울특별시,용산구,용산2가동,11170,52000,서울특별시 용산구 용산2가동
2022,10,남자인구수,4402,1117052000,용산2가동,서울특별시,용산구,용산2가동,11170,52000,서울특별시 용산구 용산2가동
2022,10,여자인구수,4715,1117052000,용산2가동,서울특별시,용산구,용산2가동,11170,52000,서울특별시 용산구 용산2가동
